Date,Venue,City,Extras,Notes
"Wednesday, May 25, 1977",Playhouse,"Edinburgh, Scotland",,Opening for Nils Lofgren
"Thursday, May 26, 1977",Glasgow Apollo,"Glasgow, Scotland",,Opening for Nils Lofgren
"Monday, May 30, 1977",Pinkpop Festival,"Geleen, Netherlands",,
,Burgemeester Damen Sportpark,,,
"Tuesday, May 31, 1977",Cirque Royal,"Brussels, Belgium",Setlist,
"Wednesday, June 1, 1977",Pavillion de Paris,"Paris, France",Setlist,Opening for the Kinks with Nils Lofgren
"Thursday, June 2, 1977",Schauspiel Frankfurt,"Frankfurt, Germany",,Opening for Nils Lofgren
"Saturday, June 4, 1977",Paradiso,"Amsterdam, Netherlands",,
"Monday, June 6, 1977",Olympen,"Lund, Sweden",,
"Sunday, June 12, 1977",Manchester Free Trade Hall,"Manchester, England",,
"Tuesday, June 14, 1977",WDR Studio,"Cologne, Germany",,Taping of Rockpalast
"Thursday, June 16, 1977",Top of the Pops broadcast,--,,
"Thursday, June 16, 1977",Birmingham Town Hall,"Birmingham, England",,With the Boomtown Rats
"Friday, June 17, 1977",Cardiff University,"Cardiff, Wales",,With the Boomtown Rats
"Saturday, June 18, 1977",Aylesbury Friars Club,"Aylesbury, England",,With the Boomtown Rats
"Sunday, June 19, 1977",Rainbow Theatre,"London, England",,With the Boomtown Rats
"Monday, June 20, 1977",Club Lafayette,"Wolverhampton, England",,With the Boomtown Rats
"Tuesday, June 21, 1977",TV Special,"--, Belgium",,
"Friday, June 24, 1977",Exeter University,"Exeter, england",,
"Saturday, June 25, 1977",Hull University,"Kingston Upon Hull, England",,
"Friday, August 5, 1977",Paramount Theatre,"Portland, Oregon",,With the Ramones and Mink DeVille
"Wednesday, August 10, 1977",Old Waldorf,"San Francisco, California",,
"Thursday, August 11, 1977",Old Waldorf,"San Francisco, California",,
"Friday, August 12, 1977",Whisky a Go-Go,"West Hollywood, California",,
"Saturday, August 13, 1977",Whisky a Go-Go,"West Hollywood, California",,
"Thursday, September 8, 1977",Paramount Theatre,"Portland, Oregon",,Opening for Be Bop Deluxe
"Saturday, September 10, 1977",Winterland,"San Francisco, California",,Opening for Be Bop Deluxe
"Sunday, September 11, 1977",Warnors Theatre,"Fresno, California",,Opening for Be Bop Deluxe
"Monday, September 12, 1977",The Catalyst,"Santa Cruz, California",,With the Rubinoos
"Wednesday, September 14, 1977",Santa Monica Civic Auditorium,"Santa Monica, California",,Opening for Be Bop Deluxe
"Thursday, September 15, 1977",Santa Monica Civic Auditorium,"Santa Monica, California",,Opening for Be Bop Deluxe
"Friday, September 16, 1977",Celebrity Theatre,"Phoenix, Arizona",,Opening for Be Bop Deluxe
"Saturday, October 29, 1977",Yakima Valley Community College,"Yakima, Washington",,Opening for the J. Geils Band
"Monday, November 7, 1977",Santa Monica Civic Auditorium,"Santa Monica, California",,Opening for Nektar
"Monday, November 14, 1977",Agora Ballroom,"Cleveland, Ohio",,Opening for Meat Loaf
"Tuesday, November 15, 1977",Painesville Agora,"Painesville, Ohio",,Opening for Meat Loaf
"Saturday, November 19, 1977",Bottom Line,"New York City, New York",,With the Dingoes
"Sunday, November 20, 1977",Bottom Line,"New York City, New York",,With the Dingoes
"Wednesday, November 23, 1977",Civic Arena,"Pittsburgh, Pennsylvania",,Opening for the J. Geils Band
"Saturday, November 26, 1977",Tower Theatre,"Philadelphia, Pennsylvania",,Opening for Rush
"Tuesday, November 29, 1977",My Father's Place,"Roslyn, New York",Setlist,WLIR-FM broadcast
"Wednesday, November 30, 1977",Palace Theatre,"Albany, New York",,Opening for Edgar Winter
"Friday, December 2, 1977",Riveria Theater,"Chicago, Illinois",Review,With Elvis Costello and the Attractions
"Monday, April 10, 1978",Del Mar Theater,"Santa Cruz, California",,
"Sunday, May 7, 1978",NBC Studios,"Burbank, California",,taping of Midnight Special (broadcast June 2)
"Thursday,, May 11, 1978","Montezuma Hall, San Diego State University","San Diego, California",Review,
"Saturday, May 13, 1978","Freeborn Hall, University of California Davis","Davis, California",,
"Sunday, May 14, 1978",University of California Riverside,"Riverside, California",,
"Monday, May 15, 1978",Civic Auditorium,"Santa Cruz, California",Review,
"Saturday, June 3, 1978",Stanford Memorial Auditorum,"Palo Alto, California",Review,
"Monday, June 5, 1978",Santa Monica Civic Auditorium,"Santa Monica, California",Review,
"Friday, June 9, 1978",Chico State Gym,"Chico, California",,
"Saturday, June 10, 1978",Winterland,"San Francisco, California",,with Earth Quake and David Johansen
"Sunday, June 11, 1978",Veterans Memorial,"Santa Rosa, California",,with Sarah Baker
"Monday, June 12, 1978",Lane County Fairgrounds,"Eugene, Oregon",,
"Wednesday, June 14, 1978",Paramount Theatre,"Portland, Oregon",,
"Thursday, June 15, 1978",Commodore Ballroom,"Vancouver, Canada",,
"Tuesday, June 20, 1978",BBC Studios,"London, England",,Old Grey Whistle Test
"Saturday, June 24, 1978",Knebworth Festival,"Hertfordshire, England",,
"Tuesday, June 27, 1978",Marquee Club,"London, England",,
"Thurday, July 6, 1978",Factory,"Jacksonville, Florida",,Opening for the Patti Smith Group
"Friday, July 7, 1978",Curtis Hixon Hall,"Tampa, Florida",Review ,Opening for the Patti Smith Group
"Saturday, July 8, 1978",Miami Jai Alai Fronton,"Miami, Florida",,Opening for the Patti Smith Group
"Wednesday, July 12, 1978",Cobo Hall,"Detroit, Michigan",,opening for Journey
"Thursday, July 13, 1978",Music Hall,"Cleveland, Ohio",,with Derringer
"Friday, July 14, 1978",Palladium,"New York City, New York",Setlist,with Derringer and Carillo
,,,Review,
"Saturday, June 15, 1978",Paramount Theatre,"Asbury Park, New Jersey",,with U.K.
"Sunday, July 16, 1978",Paradise Theater,"Boston, Massachusetts",Setlist,King Biscuit Flower Hour broadcast
,,,Review,
"Monday, July 17, 1978",Warner Theater,"Washington, D.C.",,
"Tuesday, July 18, 1978",Tower Theater,"Philadelphia, Pennsylvania",,with Mink DeVille
"Saturday, July 22, 1978",Cape Cod Coliseum,"South Yarmouth, Massachussetts",,opening for the J. Geils Band
"Friday, July 28, 1978",Calderone Concert Hall,"Hempstead, New York",,opening for the J. Geils Band
"Tuesday, August 1, 1978",Civic Center,"Oklahome City, Oklahome",,Opening for the Kinks
"Thursday, August 3, 1978",The Warehouse,"New Orleans, Louisiana",Setlist,Opening for the Kinks
"Saturday, August 5, 1978",Fox Theater,"Atlanta, Georgia",,Opening for the Kinks with Blondie
"Sunday, August 6, 1978",Fox Theater,"Atlanta, Georgia",,Opening for the Kinks with Blondie
"Sunday, August 13, 1978",Dallas Convention Center,"Dallas, Texas",,Opening for Kansas
"Saturday, September 9, 1978",Music Hall,"Houston, Texas",,
"Sunday, September 10, 1978",Opry House,"Austin, Texas",,
"Thursday, September 14, 1978",Kiel Opera House,"St. Louis, Missouri",,
"Saturday, September 16, 1978",Uptown Theatre,"Kansas City, Missouri",,
"Wednesday, September 20, 1978",Memorial Auditorium,"Louisville, Kentucky",,
"Friday, September 22, 1978",Circle Theater,"Indianapolis, Indiana",,
"Saturday, September 23, 1978",Rivieria Theater,"Chicago, Illinois",,
"September --, 1978",State Theatre,"Minneapolis, Minnesota",,Gary Busey joins band for encore
,,,,
"Friday, December 29, 1978",Redding Civic Auditorium,"Redding, California",,with the Greg Kihn Band
"Saturday, December 30, 1978",Winterland,"San Francisco, California",Setlist,with the Greg Kihn Band
"Sunday, December 31, 1978",Santa Monica Civic Auditorium,"Santa Monica, California",,with the Greg Kihn Band
,,,,special guest: Del Shannon
"Monday, July 23, 1979",Sherwood Hall,"Salinas, California",Setlist,'The Lawsuit Tour'
,,,,with the Greg Kihn Band
"Tuesday, July 24, 1979",Santa Cruz Civic Auditorium,"Santa Cruz, California",,'The Lawsuit Tour'
,,,,with the Rebels
"Wednesday, July 25, 1979",Sacramento Community Theater,"Sacramento, California",Setlist,'The Lawsuit Tour'
,,,,with the Greg Kihn Band
"Saturday, July 28, 1979",Universal Amphitheater,"Universal City, California",,'The Lawsuit Tour'
"Sunday, July 29, 1979",Universal Amphitheater,"Universal City, California",,'The Lawsuit Tour'
,,,,
"Saturday, September 22, 1979",Madison Square Garden,"New York City, New York",Review,Musicans United for Safe Energy (No Nukes)
"Saturday, November 10, 1979",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season 5, Episode 95)"
,,,,Refugee/Don't Do Me Like That
"Sunday, November 11, 1979",Palladium,"New York City, New York",Setlist,
,,,Review #1,
,,,Review #2,
,,,Photo,
"Tuesday, November 13, 1979",Tower Theater,"Philadelphia, Pennsylvania",,
"Friday, November 16, 1979",Masonic Temple,"Detroit, Michigan",Review,
"Saturday, November 17, 1979",Palace Theatre,"Cleveland, Ohio",Review #1,
,,,Review #2,
"Sunday, November 18, 1979",Seneca College,"Toronto, Ontario",,
"Monday, November 19, 1979",Orpheum Theater,"Boston, Massachussets",Review,Postponed from Nov. 14
"Friday, November 23, 1979",Aragon Ballroom,"Chicago, Illinois",,
"Sunday, November 25, 1979",St Paul Civic Theatre,"St. Paul, Minnesota",,
"Friday, November 30, 1979",Tennessee Theatre,"Nashville, Tennessee",,Canceled
"Saturday, December 1, 1979",Fox Theater,"Atlanta, Georgia",,
"Wednesday, December 5, 1979",Opry House,"Austin, Texas",,
"Thursday, December 6, 1979",Music Hall,"Houston, Texas",Setlist,
"Sunday, December 23, 1979",Paramount Theatre,"Seattle, Washington",,
"Thursday, December 27, 1979",The Gardens,"Vancouver, British Columbia",,
"Monday, December 31, 1979",Oakland Coliseum,"Oakland, California",,
"Tuesday, January 1, 1980",Dallas Convention Center Theatre,"Dallas, Texas",,
"Tuesday, January 8, 1980",Civic Center,"Oklahoma City, Oklahoma",,
"Wednesday, January 9, 1980",Tulsa Municipal Theatre,"Tulsa, Oklahoma",,
"Friday, January 11, 1980",Memorial Hall,"Kansas City, Missouri",,
"Saturday, January 12, 1980",Kiel Opera House,"St. Louis, Missouri",,
"Sunday, January 13, 1980",Civic Auditorium Music Hall,"Omaha, Nebraska",Review,
"Friday, January 18, 1980",Golden Hall,"San Diego, California",Review,
"Sunday, January 20, 1980",Inglewood Forum,"Inglewood, California",Setlist,
,,,Review,
"Monday, January 21, 1980",Whisky A Go-Go,"West Hollywood, California",Setlist,
"Wednesday, January 23, 1980",Symphony Hall,"Phoenix, Arizona",Setlist,
"Saturday, January 26, 1980","Main Auditorium, University of Arizona","Tuscon, Arizona",,
"Sunday, January 27, 1980",University of California,"Santa Barbara, California",Setlist,Postponed from Jan. 19
"Sunday, March 2, 1980",Birmingham Odeon,"Birmingham, England",,
"Monday, March 3, 1980",Manchester Apollo,"Manchester, England",,
"Thursday, March 6, 1980",Hammersmith Odeon,"London, England",Review,
"Friday, March 7, 1980",Hammersmith Odeon,"London, England",Setlist,King Biscuit Flower Hour broadcast
"Tuesday, March 11, 1980",Théatre l'Empire,"Paris, France",Setlist,'Chorus' TV show
"Monday, March 24, 1980",Oxford Polytechnic,"Oxford, England",,Rock Goes To College (broadcast date)
"Wednesday, April 16, 1980",Mainichi Hall,"Osaka, Japan",,
"Thursday, April 17, 1980",Kinrou-Kaikan,"Nagoya, Japan",Setlist,
"Saturday, April 19, 1980",Yomiuri Hall ,"Tokyo, Japan",,
"Monday, April 21, 1980",Yomiuri Hall ,"Tokyo, Japan",,
"Tuesday, April 22, 1980",Yomiuri Hall ,"Tokyo, Japan",Setlist,
"Saturday, April 26, 1980",Capitol Theatre,"Sydney, Australia",Review,
"Sunday, April 27, 1980",Capitol Theatre,"Sydney, Australia",Review,
"Tuesday, April 29, 1980",Festival Hall,"Brisbane, Australia",,
"Thursday, May 1, 1980",Palais Theatre,"Melbourne, Australia",,
"Friday, May 2, 1980",Palais Theatre,"Melbourne, Australia",,
"Saturday, May 3, 1980",Jubilee Pavilion,"Adelaide, Australia",,
"Tuesday, May 6, 1980",The Civic,"Christchurch, New Zealand",,
"Thursday, May 8, 1980",Wellington Show & Sports,"Wellington, New Zealand",,
"Sunday, May 11, 1980",International Center,"Honolulu, Hawaii",,
"Friday, June 6, 1980",ABC-TV Studios,"Hollywood, California",,'Fridays' TV show
"Monday, June 9, 1980",Red Rocks Amphitheatre,"Denver, Colorado",,
"Saturday, June 14, 1980",Memorial Coliseum,"Fort Wayne, Indiana",,
"Tuesday, June 17, 1980",Pine Knob Music Theatre,"Clarkson, Michigan",,
"Wednesday, June 18, 1980",Poplar Creek Music Theater,"Hoffman Estates, Illinois",Review,
"Friday, June 20, 1980",Blossom Music Center,"Cuyahoga Falls, Ohio",Review,
"Saturday, June 21, 1980",Merriweather Post Pavillion,"Columbia, Maryland",,
"Wednesday, June 25, 1980",Saratoga Performing Arts Center,"Saratoga Springs, New York",,
"Friday, June 27, 1980",Capitol Theater,"Passaic, New Jersey",,
"Wednesday, July 2, 1980",Augusta Civic Center,"Augusta, Maine",Review ,
"Thursday, July 3, 1980",Ocean State Theatre,"Providence, Rhode Island",Review,
"Friday, July 4, 1980",Palladium ,"New York City, New York",Review,
"Saturday, July 5, 1980",Palladium,"New York City, New York",,
"Sunday, July 6, 1980",Palladium,"New York City, New York",,
"Tuesday, July 8, 1980",The Spectrum,"Philadelphia, Pennsylvania",,
"Wednesday, July 9, 1980",The Spectrum,"Philadelphia, Pennsylvania",,
"Thursday, July 10, 1980",Stanley Theatre,"Pittsburgh, Pennsylvania",Review,
"Friday, July 11, 1980",Mosque Theatre,"Richmond, Virginia",Setlist,
,,,Review,
"Tuesday, July 15, 1980",Bayfront Center,"St. Petersburg, Florida",Review #1,
,,,Review #2,
"Friday, July 18, 1980",Hollywood Sportatorium,"Pembroke Pines, Florida",,
"July --, 1980",Orlando-Seminole Jai Alai Fronton,"Orlando, Florida",Review,
"Wednesday, June 10, 1981",Market Square Arena,"Indianapolis, Indiana",,
"Sunday, June 14, 1981","Centennial Hall, University of Toledo","Toledo, Ohio",,
"Tuesday, June 16, 1981",Richfield Coliseum,"Richfield, Ohio",,
"Wednesday, June 17, 1981",Rosemont Horizon,"Chicago, Illinois",Setlist,
"Thursday, June 18, 1981",Cobo Hall,"Detroit, Michigan",Setlist,
,,,Review,
"Sunday, June 21, 1981",Red Rocks Amphitheatre,"Denver, Colorado",,
"Monday, June 22, 1981",--,"Hollywood, California",,Rockline radio show
"Wednesday, June 24, 1981",Aladdin Theatre,"Las Vegas, Nevada",,
"Thursday, June 25, 1981",Zephyr Lounge,"Reno, Nevada",,
"Friday, June 26, 1981",Cow Palace,"Daly City, California",Setlist,Special Guest: Stevie Nicks
"Sunday, June 28, 1981",The Forum,"Los Angeles, California",Review,Special Guest: Stevie Nicks
"Monday, June 29, 1981",The Forum,"Los Angeles, California",,Special Guest: Stevie Nicks
"Saturday, June 30, 1981",The Forum,"Los Angeles, California",,Special Guest: Stevie Nicks
"Saturday, July 4, 1981",Pacific Coliseum,"Vancouver, British Columbia",,
"Sunday, July 5, 1981",HEC Edmundson Pavillion,"Seattle, Washington",Setlist,
"Monday, July 6, 1981",Astor Park,"Seattle, Washington",,
"Wednesday, July 8, 1981",Memorial Coliseum,"Portland, Oregon",,
"Thursday, July 16, 1981",NBC Studios,"New York City, New York",,The Tomorrow Show
"Saturday, July 18, 1981",Castle Farms,"Charlevoix, Michigan",,
"Monday, July 20, 1981",Ottawa Civic Centre,"Ottawa, Ontario",,
"Tuesday, July 21, 1981",Le Forum,"Montreal, Quebec",,
"Wednesday, July 22, 1981",Maple Leaf Gardens,"Toronto, Ontario",Setlist,
"Friday, July 24, 1981",New Haven Veterans Memorial Coliseum,"New Haven, Connecticut",,
"Sunday, July 26, 1981",Saratoga Performing Arts Center,"Saratoga Springs, New York",Review,
"Monday, July 27, 1981",The Spectrum,"Philadelphia, Pennsylvania",,
"Tuesday, July 28, 1981",War Memorial,"Rochester, New York",,
"Thursday, July 30, 1981",Meadowlands Arena,"East Rutherford, New Jersey",Review,Special Guest: Stevie Nicks
"Friday, July 31, 1981",Merriweather Post Pavillion,"Columbia, Maryland",,
"Saturday, August 1, 1981",Municipal Auditorium,"Norfolk, Virginia",Setlist,
"Monday, August 3, 1981","Stabler Arena, Lehigh University","Bethlehem, Pennsylvania",Setlist,
"Tuesday, August 4, 1981",Civic Arena,"Pittsburgh, Pennsylvania",Review #1,
,,,Review #2,
"Thursday, August 6, 1981",Nassau Coliseum,"Uniondale, New York",,
"Friday, August 7, 1981",Boston Garden,"Boston, Massachusetts",Setlist,
"Saturday, August 8, 1981",Civic Center,"Providence, Rhode Island",,
"Monday, August 10, 1981",Memorial Auditorium,"Buffalo, New York",,
"Tuesday, August 11, 1981",Irving Theatre,"Indianapolis, Indiana",,
"Wednesday, August 12, 1981",Kiel Opera House,"St. Louis, Missouri",,
"Friday, August 14, 1981",Met Center,"Minneapolis, Minnesota",Review #1,
,,,Review #2,
"Saturday, August 15, 1981",Civic Auditorium,"Omaha, Nebraska",,
"Sunday, August 16, 1981",Alpine Valley Music Theatre,"East Troy, Wisconsin",Setlist,
,,,Review #1,
,,,Review #2,
"Tuesday, August 18, 1981",Westpost Amphitheatre,"Kansas City, Missouri",,
"Sunday, September 6, 1981",Cal Expo Racetrack,"Sacramento, California",Setlist,Special Guest: Stevie Nicks
"Tuesday, September 15, 1981",Tucson Convention Center,"Tuscon, Arizona",,
"Thursday, September 17, 1981",Well Fargos Arena,"Tempe, Arizona",,
"Friday, September 18, 1981",Irvine Meadows,"Irvine, California",Setlist,Special Guest: Stevie Nicks
,,,Review,
"Saturday, September 19, 1981",Irvine Meadows,"Irvine, California",Setlist,Special Guest: Stevie Nicks
"Tuesday, September 22, 1981",The Summit,"Houston, Texas",,
"Wednesday, September 23, 1981",Reunion Arena,"Dallas, Texas",,
"Thursday, September 24, 1981",Frank Erwin Center,"Austin, Texas",,
"Friday, September 25, 1981",Lloyd Noble Center,"Norman, Oklahoma",,
"Sunday, September 27, 1981",LSU Assembly Center,"Baton Rouge, Louisiana",,
"Tuesday, September 29, 1981",The Omni,"Atlanta, Georgia",Review,Special Guest: Stevie Nicks
"Wednesday, September 30, 1981",Savannah Civic Center,"Savannah, Georgia",,Special Guest: Stevie Nicks
"Friday, October 2, 1981",Lakeland Civic Center,"Lakeland, Florida",Setlist,Special Guest: Stevie Nicks
,,,Review,
"Saturday, October 3, 1981",Veteran's Memorial Coliseum,"Jacksonville, Florida",,Special Guest: Stevie Nicks
"Tuesday, October 6, 1981",Bayfront Center,"St. Petersburg, Florida",Setlist,Special Guest: Stevie Nicks
,,,Review,
"Wednesday, October 7, 1981",O'Connell Center,"Gainesville, Florida",Setlist,Special Guest: Stevie Nicks
,,,,
"Thursday, December 8, 1981",Dooley's,"Tempe, Arizona",,Tom guests with Del Shannon
"Thursday, December 10, 1981",The Country Club,"Reseda, California",,Tom guests with Del Shannon
"Sunday, June 6, 1982",Peace Sunday,"Pasadena, California",,
,Rose Bowl ,,,
"Wednesday, September 1, 1982",Civic Auditorium,"Santa Cruz, California",,
"Thursday, September 2, 1982",Civic Auditorium,"Santa Cruz, California",,
"Saturday, September 4, 1982",U.S. Festival,"Devore, California",,
,Glen Helen Regional Park,,,
"Sunday, September 19, 1982",Whisky a Go-Go,"West Hollywood, California",Photo,Tom and Benmont guest with the Plimsouls
"Tuesday, November 30, 1982",Forest National,"Brussels, Belgium",,
"Friday, December 3, 1982",Baltard Pavilion,"Nogent-sur-Marne, France",Setlist,
"Saturday, December 4, 1982",Muziekcentrum Vredenburg,"Utrecht, Netherlands",Setlist,
"Tuesday, December 7, 1982",Wembley Arena,"London, England",Setlist,With Dave Edmunds; BBC radio broadcast
"Wednesday, December 8, 1982",Manchester Apollo,"Manchester, England",,
"Thursday, December 9, 1982",Edinburgh Playhouse,"Edinburgh, Scotland",Setlist,
"Friday, December 10, 1982",Apollo Theatre,"Coventry, England",Setlist,
"Sunday, December 12, 1982",Brighton Conference Center,"Brighton, England",,
"Tuesday, December 14, 1982",Deutsches Museum Kongresshalle,"Munich, Germany",Setlist,
"Wednesday, December 15, 1982",Musensaal,"Mannheim, Germany",,
"Friday, December 17, 1982",Musikalle,"Hamburg, Germany",,
"Saturday, December 18, 1982",Westfalenhalle,"Dortmund, Germany",,
"Sunday, December 19, 1982",Metropol,"Berlin, Germany",,
"Monday, December 20, 1982",Statdhalle,"Offenbach, Germany",,
"Tuesday, December 21, 1982",Hemmerleinhalle,"Nuremberg, Germany",,
"December --, 1982",Isstadion,"Stockholm, Sweden",,
"Saturday, January 22, 1983",Arizona Memorial Coliseum,"Phoenix, Arizona",,
"Sunday, January 23, 1983",Tuscon Convention Center,"Tuscon, Arizona",,
"Monday, January 24, 1983",UTEP Don Haskins Center,"El Paso, Texas",,
"Wednesday, January 26, 1983",Myriad Arena,"Oklahome City, Oklahoma",,
"Thursday, January 27, 1983",Frank Erwin Center,"Austin, Texas",Review,
"Friday, January 28, 1983",The Summit,"Houston, Texas",,
"Sunday, January 30, 1983",Reunion Arena,"Dallas, Texas",,
"Tuesday, February 1, 1983",Municipal Auditorium,"Shreveport, Louisiana",,
"Thursday, February 3, 1983",Mid-South Coliseum,"Memphis, Tennessee",,
"Friday, February 4, 1983",The Omni,"Atlanta, Georgia",,
"Sunday, February 6, 1983",Charlotte Coliseum,"Charlotte, North Carolina",,
"Tuesday, February 8, 1983",West Palm Beach Auditorium,"West Palm Beach, Florida",,
"Friday, February 11, 1983",Bayfront Arena,"St. Petersburg, Florida",Review,
"Sunday, February 13, 1983",The Palace,"Gainesville, Florida",,
"Monday, February 14, 1983",Grand Ole Opry House,"Nashville, Tennessee",,
"Tuesday, February 15, 1983",Louisville Gardens,"Louisville, Kentucky",,
"Thursday, February 17, 1983","Stabler Arena, Lehigh University","Bethehem, Pennsylvania",Setlist,
,,,Review,
"Friday, February 18, 1983",Pittsburgh Civic Arena,"Pittsburgh, Pennsylvania",,
"Saturday, February 19, 1983",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season 8, episode 152)."
,,,,The Waiting/Change of Heart
"Friday, February 25, 1983",Hammons Student Center,"Springfield, Missouri",,
"Saturday, February 26, 1983",Kiel Opera House,"St. Louis, Missouri",,
"Wednesday, March 2, 1983",Colorado University Events Center,"Boulder, Colorado",,
"Friday, March 4, 1983",SIU Arena,"Carbondale, Illinois",,
"Saturday, March 5, 1983",Municipal Auditorium,"Kansas City, Missouri",Setlist,
"Sunday, March 6, 1983",Omaha Civic Auditorium,"Omaha, Missouri",,
"Friday, March 11, 1983",Met Center,"Bloomington, Minnesota",,
"Saturday, March 12, 1983",Five Seasons Center,"Cedar Rapids, Iowa",Review #1,
,,,Review #2,
"Monday, March 14, 1983",MECCA Arena,"Milwaukee, Wisconsin",Setlist,
,,,Review,
"Tuesday, March 15, 1983",Rosemont Horizon,"Chicago, Illinois",,
"Thursday, March 17, 1983",Market Square Arena,"Indianapolis, Indiana",Setlist,
"Friday, March 18, 1983",Cobo Arena,"Detroit, Michigan",,
"Saturday, March 19, 1983",Richfield Colieum,"Richfield, Ohio",,
"Monday, March 21, 1983",Memorial Auditorium,"Buffalo, New York",Review,
"Tuesday, March 22, 1983",Broome County Arena,"Binghamton, New York",,
"Thursday, March 24, 1983",Worcester Centrum Center,"Worcester, Massachusetts",Review,
"Friday, March 25, 1983",Providence Civic Center,"Providence, Rhode Island",Setlist,
"Saturday, March 26, 1983",New Haven Coliseum,"New Haven, Connecticut",,
"Monday, March 28, 1983",Civic Arena Theater,"Pittsburgh, Pennsylvania",,
"Tuesday, March 29, 1983",William and Mary College,"Willamsburg, Virginia",,
"Thursday, March 31, 1983",Nassau Coliseum,"Uniondale, New York",Setlist,
"Friday, April 1, 1983",Brendan Byrne Arena,"East Rutherford, New Jersey",Setlist,
,,,Review,
"Saturday, April 2, 1983",The Spectrum,"Philadelphia, Pennsylvania",,
"Friday, April 8, 1983",Seattle Coliseum,"Seattle, Washington",,
"Wednesday, April 13, 1983",Cow Palace,"Daly City, California",Setlist,
"Thursday, April 14, 1983",Kabuki Theatre,"San Francisco, California",Setlist,
"Friday, April 15, 1983",CSUF Amphitheatre,"Fresno, California",,
"Tuesday, April 19, 1983",Universal Amphitheater,"Universal City, California",Review,
