ï..Date,Venue,City,Extras,Notes,latitude,longitude
"Wednesday, April 26, 1995",San Diego Sports Arena,"San Diego, California",,,32.7174202,-117.1627728
"Friday, April 28, 1995",Glen Helen Blockbuster Pavilion,"Devore, California",,,34.2163964,-117.4014365
"Sunday, April 30, 1995",Shoreline Amphitheatre,"Mountain View, California",,,37.3893889,-122.0832101
"Monday, May 1, 1995",ARCO Arena,"Sacramento, California",,,38.5810606,-121.493895
"Wednesday, May 3, 1995",Memorial Coliseum,"Portland, Oregon",,,45.5202471,-122.6741949
"Thursday, May 4, 1995",Gorge Amphitheatre,"George, Washingon",,,NA,NA
"Friday, May 5, 1995",Gorge Amphitheatre,"George, Washington",,,47.0807166,-119.8570901
"Saturday, May 6, 1995",Pacific Coliseum,"Vancouver, Canada",,,49.2608724,-123.113952
"Monday, May 15, 1995",Miami Arena,"Miami, Florida",,,25.7741728,-80.19362
"Wednesday, May 17, 1995",Miami Arena,"Miami, Florida",,,25.7741728,-80.19362
"Friday, May 19, 1995",USF Sun Dome,"Tampa, Florida",,,27.9477595,-82.458444
"Saturday, May 20, 1995",T.D. Waterhouse Center,"Orlando, Florida",,,28.5421109,-81.3790304
"Tuesday, May 23, 1995",Pensacola Civic Center,"Pensacola, Florida",,,30.421309,-87.2169149
"Thursday, May 25, 1995",Oak Mountain Amphitheatre,"Pelham, Alabama",,,33.285669,-86.8099884
"Saturday, May 27, 1995",Amsouth Amphitheatre,"Antioch, Tennessee",,,35.756467,-84.2179718
"Sunday, May 28, 1995",Orpheum Theatre,"Memphis, Tennessee",,,35.1490215,-90.0516285
"Tuesday, May 30, 1995",Orpheum Theatre,"Memphis, Tennessee",,,35.1490215,-90.0516285
"Wednesday, May 31, 1995",Orpheum Theatre,"Memphis, Tennessee",,,35.1490215,-90.0516285
"Friday, June 2, 1995",Riverport Amphitheatre,"Maryland Heights, Missouri",,,38.7150511,-90.435999
"Saturday, June 3, 1995",Sandstone Amphitheatre,"Bonner Springs, Kansas",,,39.059726,-94.8835754
"Monday, June 5, 1995",Music Hall,"Oklahoma City, Oklahoma",,,35.4729886,-97.5170536
"Tuesday, June 6, 1995",Music Hall,"Oklahoma City, Oklahoma",,,35.4729886,-97.5170536
"Friday, June 9, 1995",Hollywood Bowl,"Los Angeles, California",,,34.0536909,-118.242766
"Saturday, June 10, 1995",Hollywood Bowl,"Los Angeles, California",,,34.0536909,-118.242766
"Monday, June 12, 1995",Lawlor Events Center,"Reno, Nevada",,,39.5261206,-119.8126581
"Tuesday, June 13, 1995",Shoreline Amphitheater,"Mountain View, California",,,37.3893889,-122.0832101
"Thursday, August 10, 1995",Delta Center,"Salt Lake City, Utah",,,40.7596198,-111.8867975
"Friday, August 11, 1995",Fiddler's Green Amphitheatre,"Englewood, Colorado",,,39.6482059,-104.9879641
"Monday, August 14, 1995",Tweeter Center,"Mansfield, Massachusetts",,,42.0334326,-71.2189405
"Tuesday, August 15, 1995",Saratoga Performing Arts Center,"Saratoga Springs, New York",,,43.0821793,-73.7853915
"Thursday, April 17, 1995",Jones Beach Amphitheatre,"Wantagh, New York",,,40.6626375,-73.51343832543981
"Friday, August 18, 1995",Meadow Music Centre,"Hartford, Connecticut",,,41.764582,-72.6908547
"Sunday, August 20, 1995",Garden State Arts Centre,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Monday, August 21, 1995",E-Centre,"Camden, New Jersey",,,39.9448402,-75.1198911
"Thursday, August 24, 1995",Merriweather Post Pavilion,"Columbia, Maryland",,,39.1938429,-76.86460919353361
"Saturday, August 26, 1995",Post-Gazette Pavilion at Star Lake,"Burggetstown, Pennsylvania",,,NA,NA
"Sunday, August 27, 1995",Blossom Music Center,"Cuyahoga Falls, Ohio",,,41.1348213,-81.4848086
"Tuesday, August 29, 1995",Polaris Amphitheatre,"Columbus, Ohio",,,39.9622601,-83.0007065
"Wednesday, August 30, 1995",Riverbend Music Center,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Friday, September 1, 1995",Pine Knob Music Theatre,"Clarkson, Michigan",,,42.5512648,-82.9586042
"Saturday, September 2, 1995",Pine Knob Music Theatre,"Clarkson, Michigan",,,42.5512648,-82.9586042
"Sunday, September 10, 1995",Target Center,"Minneapolis, Minnesota",,,44.9772995,-93.2654692
"Tuesday, September 12, 1995",Hilton Coliseum,"Ames, Iowa",,,42.0267567,-93.6170448
"Wednesday, September 13, 1995",Mark of the Quad Cities,"Moline, Illinois",,,41.5067003,-90.5151342
"Friday, September 15, 1995",New World Music Theatre,"Tinley Park, Illinois",,,41.5733669,-87.7844944
"Saturday, September 16, 1995",Alpine Valley Music Theatre,"Easy Troy, Wisconsin",,,NA,NA
"Monday, September 18, 1995",Allen County War Memorial Coliseum,"Fort Wayne, Indiana",,,41.0799898,-85.1386015
"Tuesday, September 19, 1995",Deer Creek Music Center,"Noblesville, Indiana",,,40.0455918,-86.0085955
"Thursday, September 21, 1995",Roberts Stadium,"Evansville, Indiana",,,37.9747645,-87.5558483
"Saturday, September 23, 1995",Rupp Arena,"Lexington, Kentucky",,,38.0464066,-84.4970393
"Sunday, September 24, 1995",Knoxville Civic Coliseum,"Knoxville, Tennessee",,,35.9603948,-83.9210261
"Wednesday, September 27, 1995",Alltel Pavilion at Walnut Creek,"Raleigh, North Carolina",,,35.7803977,-78.6390989
"Thursday, September 28, 1995",North Charleston Coliseum,"North Charleston, South Carolina",,,32.9131295,-80.0629981965219
"Saturday, September 30, 1995",Lakewood Amphitheatre,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Sunday, October 1, 1995",Von Braun Civic Center Arena,"Huntsville, Alabama",,,34.729847,-86.5859011
"Tuesday, October 3, 1995",BancorpSouth Center,"Tupelo, Mississippi",,,34.2576067,-88.7033859
"Wednesday, October 4, 1995",Mississippi Coliseum,"Jackson, Mississippi",,,32.2990021,-90.1847691
"Friday, October 6, 1995",Coleman Coliseum,"Tuscaloosa, Alabama",,Westwood One radio broadcast,33.2095614,-87.5675258
"Sunday, October 8, 1995",Lakefront Arena,"New Orleans, Lousiana",,,29.9552815,-90.0654808
"Saturday, September 28, 1996",NBC Studio 8-H,"New York City, New York",,"Saturday Night Live (Season #22, Episode 407)",40.7587979,-73.9623427
,,,,Walls (No. 3)/Angel Dream (No. 2),NA,NA
,,,,Curt Bisquera on drums,NA,NA
"Friday, January 10, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Saturday, January 11, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Sunday, January 12, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Tuesday, January 14, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Thursday, January 16, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Sunday, January 19, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Monday, January 20, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Tuesday, January 21, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Friday, January 24, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Saturday, January 25, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Sunday, January 26, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Tuesday, January 28, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Wednesday, January 29, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Friday, January 31, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Saturday, February 1, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Monday, February 3, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Tuesday, February 4, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Thursday, February 6, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Friday, February 7, 1997",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Sunday, March 7, 1999",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Monday, March 8, 1999",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Wednesday, March 10, 1999",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Friday, March 12, 1999",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Saturday, March 13, 1999",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Monday, March 15, 1999",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Tuesday, March 16, 1999",Fillmore Auditorium,"San Francisco, California",,,37.7790262,-122.419906
"Saturday, April 10, 1999",NBC Studio 8=H,"New York City, New York",,"Saturday Night Live (Season #24, Episode 463)",40.7587979,-73.9623427
,,,,Swingin'/Room at the Top,NA,NA
"Sunday, April 11, 1999",Irving Plaza,"New York City, New York",,,40.7587979,-73.9623427
"Monday, April 12, 1999",Irving Plaza,"New York City, New York",,,40.7587979,-73.9623427
"Thursday, April 15, 1999",Irving Plaza,"New York City, New York",,,40.7587979,-73.9623427
"Monday, April 19, 1999",Shepherd's Bush Empire,"London, England",,,51.5073219,-0.1276474
"Tuesday, April 20, 1999",Shepherd's Bush Empire,"London, England",,,51.5073219,-0.1276474
"Friday, April 23, 1999",Docks Konzerte,"Hamburg, Germany",,,53.550341,10.000654
"Monday, June 14, 1999",Van Andel Arena,"Grand Rapids, Michigan",,,42.9632405,-85.6678639
"Wednesday, June 16, 1999",Gund Arena,"Cleveland, Ohio",,,41.5051613,-81.6934446
"Friday, June 18, 1999",Pine Knob Music Theater,"Clarkson, Michigan",,,42.5512648,-82.9586042
"Saturday, June 19, 1999",Pine Knob Music Theater,"Clarkson, Michigan",,,42.5512648,-82.9586042
"Tuesday, June 22, 1999",Darien Lake Peforming Arts Center,"Darien Center, New York",,,42.9011709,-78.3886312
"Wednesday, June 23, 1999",Star Lake Amphitheatre,"Burgettstown, Pennsylvania",,,40.3820133,-80.3928423
"Friday, June 25, 1999",Nissan Pavilion,"Bristow, Virginia",,,38.7233263,-77.5365669
"Saturday, June 26, 1999",E-Centre,"Camden, New Jersey",,,39.9448402,-75.1198911
"Tuesday, June 29, 1999",Meadows Music Theatre,"Hartford, Connecticut",,,41.764582,-72.6908547
"Wednesday, June 30, 1999",Garden State Arts Center,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Friday, July 2, 1999",Jones Beach Amphitheatre,"Wantagh, New York",,,40.6626375,-73.51343832543981
"Saturday, July 3, 1999",Jones Beach Amphitheatre,"Wantagh, New York",,,40.6626375,-73.51343832543981
"Monday, July 5, 1999",Hersey Park Stadium,"Hershey, Pennsylvania",,,40.2854881,-76.6506001
"Tuesday, July 6, 1999",Air Canada Center,"Toronto, Ontario",,,43.6534817,-79.3839347
"Friday, July 9, 1999",Tweeter Center,"Mansfield, Massachussetts",,,NA,NA
"Saturday, July 10, 1999",Tweeter Center,"Mansfield, Massachussetts",,,NA,NA
"Monday, July 12, 1999",--,"Southampton, New York",,,40.884267,-72.3895296
"Wednesday, July 21, 1999",Freedom Hall,"Louisville, Kentucky",,,38.2542376,-85.759407
"Friday, July 23, 1999",Deer Creek Music Theatre,"Noblesville, Indiana",,,40.0455918,-86.0085955
"Saturday, July 24, 1999",Riverport Amphitheatre,"Maryland Heights, Missouri",,,38.7150511,-90.435999
"Tuesday, July 27, 1999",Riverbend Music Center,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Wednesday, July 28, 1999",Polaris Amphitheatre,"Columbus, Ohio",,,39.9622601,-83.0007065
"Friday, July 30, 1999",Marcus Amphitheatre,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
"Saturday, July 31, 1999",New World Music Theatre,"Tinley Park, Illinois",,,41.5733669,-87.7844944
"Tuesday, August 3, 1999",Target Center,"Minneapolis, Minnesota",,,44.9772995,-93.2654692
"Wednesday, August 4, 1999",Sandstone Amphitheatre,"Bonner Springs, Kansas",,,39.059726,-94.8835754
"Friday, August 6, 1999",Amsouth Amphitheatre,"Antioch, Tennessee",,,35.756467,-84.2179718
"Saturday, August 7, 1999",The Pyramid,"Memphis, Tennessee",,,35.1490215,-90.0516285
"Friday, August 13, 1999",Irvine Meadows Amphitheatre,"Irvine, California",,,33.6856969,-117.8259819
"Saturday, August 14, 1999",Irvine Meadows Amphitheatre,"Irvine, California",,,33.6856969,-117.8259819
"Wednesday, August 18, 1999",Coors Amphitheatre,"Chula Vista, California",,,32.6400541,-117.0841955
"Thursday, August 19, 1999",America West Arena,"Phoenix, Arizona",,,33.4484367,-112.0741417
"Saturday, August 21, 1999",The Joint,"Las Vegas, Nevada",,,36.1672559,-115.148516
"Sunday, August 22, 1999",Centennial Garden,"Bakersfield, California",,,35.3738712,-119.0194639
"Wednesday, August 25, 1999",Reno Hilton Amphitheatre,"Reno, Nevada",,,39.5261206,-119.8126581
"Friday, August 27, 1999",Shoreline Amphitheatre,"Mountain View, California",,,37.3893889,-122.0832101
"Saturday, August 28, 1999",Shoreline Amphitheatre,"Mountain View, California",,,37.3893889,-122.0832101
"Monday, August 30, 1999",Arco Arena,"Sacramento, California",,,38.5810606,-121.493895
"Wednesday, September 1, 1999",Rose Garden Arena,"Portland, Oregon",,,45.5202471,-122.6741949
"Thursday, September 2, 1999",General Motors Place,"Vancouver, British Columbia",,,49.2608724,-123.113952
"Saturday, September 4, 1999",Gorge Amphitheatre,"George, Washington",,,47.0807166,-119.8570901
"Sunday, September 5, 1999",Gorge Amphitheatre,"George, Washington",,,47.0807166,-119.8570901
"Thursday, September 16, 1999",Starplex Amphitheatre,"Dallas, Texas",,,32.7762719,-96.7968559
"Friday, September 17, 1999",Frank Erwin Center,"Austin, Texas",,,30.2711286,-97.7436995
"Sunday, September 19, 1999",C.W. Mitchell Pavilion,"The Woodslads, Texas",,,NA,NA
"Tuesday, September 21, 1999",Ice Palace,"Tampa, Florida",,,27.9477595,-82.458444
"Wednesday, September 22, 1999",Coral Sky Amphitheatre,"West Palm Beach, Florida",,,26.715364,-80.0532942
"Friday, September 24, 1999",Lakewood Amphitheatre,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Saturday, September 25, 1999",Blockbuster Pavilion,"Charlotte, North Carolina",,,35.2272086,-80.8430827
"Tuesday, September 28, 1999",Bi-Lo Center,"Greenville, South Carolina",,,34.851354,-82.3984882
"Wednesday, September 29, 1999",Walnut Creek Amphitheatre,"Raleigh, North Carolina",,,35.7803977,-78.6390989
"Friday, October 1, 1999",First Union Center,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Saturday, October 2, 1999",Virginia Beach Amphitheatre,"Virginia Beach, Virginia",,,36.8529841,-75.9774183
"Monday, October 4, 1999",Meriweather Post Pavilion,"Columbia, Maryland",,,39.1938429,-76.86460919353361
"Wednesday, October 6, 1999",Assembly Hall,"Bloomington, Indiana",,Cancelled.,39.1670396,-86.5342881
"THursday, October 7, 1999",United Center,"Chicago, Illinois",,,41.8755616,-87.6244212
"Saturday, October 9, 1999",Palace of Auburn Hills,"Auburn Hills, Michigan",,,42.6875323,-83.2341028
"Monday, October 11, 1999",Mark Of The Quad Cities,"Moline, Illinois",,,41.5067003,-90.5151342
"Tuesday, October 12, 1999",Kohl Center,"Madison, Wisconsin",,,43.074761,-89.3837613
"Friday, October 15, 1999",MGM Grand,"Las Vegas, Nevada",,,36.1672559,-115.148516
"Saturday, October 16, 1999",Hollywood Bowl,"Hollywood, California",,,34.0980031,-118.329523
"Wednesday, May 9, 2001",Gill Coliseum,"Corvallis, Oregon",,,44.5645659,-123.2620435
"Friday, May 11, 2001",Idaho Center,"Boise, Idaho",,,43.6166163,-116.200886
"Saturday, May 12, 2001",The Gorge,"George, Washington",,,47.0807166,-119.8570901
"Tuesday, May 15, 2001",Red Rocks Amphitheatre,"Morrison, Colorado",,,39.6535988,-105.1910996
"Wednesday, May 16, 2001",Red Rocks Amphitheatre,"Morrison, Colorado",,,39.6535988,-105.1910996
"Friday, May 18, 2001",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",,,30.1734194,-95.504686
"Saturday, May 19, 2001",Verizon Wireless Amphitheatre,"San Antonio, Texas",,,29.4246002,-98.4951405
"Monday, May 21, 2001",Smirnoff Music Centre,"Dallas, Texas",,,32.7762719,-96.7968559
"Thursday, May 24, 2001",Santa Barbara County Bowl,"Santa Barbara, California",,,34.4221319,-119.7026673
"Sunday, May 27, 2001",Sacramento Valley Amphitheatre,"Sacramento, California",,,38.5810606,-121.493895
"Monday, May 28, 2001",Chronicle Pavilion,"Concord, California",,,37.9768525,-122.0335624
"Wednesday, May 30, 2001",San Diego State University Open Air Theatre,"San Diego, California",,,32.7174202,-117.1627728
"Friday, June 1, 2001",Hard Rock Hotel,"Las Vegas, Nevada",,,36.1672559,-115.148516
"Saturday, June 2, 2001",Hard Rock Hotel,"Las Vegas, Nevada",,,36.1672559,-115.148516
"Wednesday, June 27, 2001",Coors Light Amphitheater,"Scranton, Pennsylvania",,,41.4086874,-75.6621294
"Thursday, June 28, 2001",Tweeter Center at the Waterfront,"Camden, New Jersey",,,39.9448402,-75.1198911
"Saturday, June 30, 2001",Nissan Pavillion,"Bristow, Virginia",,,38.7233263,-77.5365669
"Sunday, July 1, 2001",PNC Arts Center,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Wednesday, July 4, 2001",Marcus Amphitheatre,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
"Thursday, July 5, 2001",Jones Beach Amphitheatre,"Wantagh, New York",,,40.6626375,-73.51343832543981
"Saturday, July 7, 2001",Saratoga Performing Arts Center,"Saratoga Springs, New York",,,43.0821793,-73.7853915
"Sunday, July 8, 2001",Tweeter Center,"Boston, Massachussetts",,,NA,NA
"Tuesday, July 10, 2001",Post-Gazette Pavillion at Star Lake,"Pittsburgh, Pennsylvania",,,40.4416941,-79.9900861
"Thursday, July 12, 2001",Pine Knob Music Theater,"Clarkson, Michigan",,,42.5512648,-82.9586042
"Saturday, July 14, 2001",HiFi Buys Amphitheatre,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Sunday, July 15, 2001",Amsouth Amphitheatre,"Nashville, Tennessee",,,36.1622767,-86.7742984
"Tuesday, July 17, 2001",Polaris Amphitheater,"Columbus, Ohio",,,39.9622601,-83.0007065
"Wednesday, July 18, 2001",Sandstone Amphitheater,"Kansas City, Missouri",,,39.100105,-94.5781416
"Friday, July 20, 2001",Tweeter Center,"Chicago, Illinois",,,41.8755616,-87.6244212
"Saturday, July 21, 2001",Verizon Wireless Music Center,"Noblesville, Indiana",,,40.0455918,-86.0085955
"Thursday, June 27, 2002",Van Andel Arena,"Grand Rapids, Michigan",,,42.9632405,-85.6678639
"Friday, June 28, 2002",Blossom Music Center,"Cuyahoga Fals, Ohio",,,NA,NA
"Sunday, June 30, 2002",Summerfest,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Wednesday, July 3, 2002",Darien Lake Theme Park,"Darien Lake, New York",,,42.93194285,-78.38793960854856
"Friday, July 5, 2002",Saratoga Performing Arts Center,"Saratofa Springs, New York",,,NA,NA
"Saturday, July 6, 2002",PNC Banks Art Center,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Monday, July 8, 2002",Mohegan Sun Arena,"Uncasville, Connecticut",,,41.4345426,-72.1097996
"Wednesday, July 10, 2002",Verizon Wireless ArenaÂ ,"Manchester, New Hampshire",,,42.9956397,-71.4547891
"Thursday, July 11, 2002",Tweeter Center,"Boston, Massachussetts",,,NA,NA
"Saturday, July 13, 2002",Coors Light Amphitheater,"Scranton, Pennsylvania",,,41.4086874,-75.6621294
"Sunday, July 14, 2002",Hershey Stadium,"Hershey, Pennsylvania",,,40.2854881,-76.6506001
"Tuesday, July 16, 2002",Star Lake Amphitheater,"Burgettstown, Pennsylvania",,,40.3820133,-80.3928423
"Wednesday, July 17, 2002",Nissan Pavillion,"Bristow, Virginia",,,38.7233263,-77.5365669
"Friday, July 19, 2002",Alltel Pavillion,"Raleigh, North Carolina",,,35.7803977,-78.6390989
"Saturday, July 20, 2002",Verizon Wireless Amphitheater,"Charlotte, North Carolina",,,35.2272086,-80.8430827
"Tuesday, August 6, 2002",Ice Palace,"Tampa, Florida",,,27.9477595,-82.458444
"Wednesday, August 7, 2002",Mars Music Amphitheater,"West Palm Beach, Florida",,,26.715364,-80.0532942
"Friday, August 9, 2002",HiFi Buys Amphitheater,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Saturday, August 10, 2002",Oak Mountain Amphitheater,"Pelham, Alabama",,,33.285669,-86.8099884
"Tuesday, August 13, 2002",Riverbend Music Center,"Cincinnati, Ohio",,,39.1014537,-84.5124602
"Wednesday, August 14, 2002",Verizon Wireless Music Center,"Noblesville, Indiana",,,40.0455918,-86.0085955
"Friday, August 16, 2002",Sandstone Amphitheater,"Bonner Springs, Kansas",,,39.059726,-94.8835754
"Saturday, August 17, 2002",UMB Bank Pavilion,"Maryland Heights, Missouri",,,38.7150511,-90.435999
"Monday, August 19, 2002",Red Rocks Amphitheater,"Morrison, Colorado",,,39.6535988,-105.1910996
"Tuesday, August 20, 2002",Red Rocks Amphitheater,"Morrison, Colorado",,,39.6535988,-105.1910996
"Thursday, August 22, 2002",Journal Pavilion,"Albuquerque, New Mexico",,,35.212870949999996,-106.71324849574629
"Saturday, August 24, 2002",Glen Helen Blockbuster Pavilion,"Devore, California",,,34.2163964,-117.4014365
"Sunday, August 25, 2002",Coors Amphitheater,"Chula Vista, California",,,32.6400541,-117.0841955
"Wednesday, August 28, 2002",Idaho Center,"Nampa, Idaho",,,43.5737361,-116.559631
"Thursday, August 29, 2002",Reno Hilton Amphitheater,"Reno, Nevada",,,39.5261206,-119.8126581
"Saturday, August 31, 2002",Auto West Amphitheater,"Marsyville, California",,,NA,NA
"Sunday, September 1, 2002",Chronicle Pavilion,"Concord, California",,,37.9768525,-122.0335624
"Tuesday, October 15, 2002",Grand Olympic Auditorium,"Los Angeles, California",,,34.0536909,-118.242766
"Wednesday, October 16, 2002",Grand Olympic Auditorium,"Los Angeles, California",,,34.0536909,-118.242766
"Sunday, October 27, 2002",Santa Barbara Bowl,"Santa Barbara, California",,,34.4221319,-119.7026673
"Tuesday, October 29, 2002",SDSU Open Air Theatre,"San Diego, California",,,32.7174202,-117.1627728
"Wednesday, October 30, 2002",Shoreline Amphitheatre,"Mountain View, California",,,37.3893889,-122.0832101
"Friday, November 1, 2002",Aladdin Theatre,"Las Vegas, Nevada",,,36.1672559,-115.148516
"Saturday, November 2, 2002",Cricket Pavilion,"Phoenix, Arizona",,,33.4484367,-112.0741417
"Tuesday, November 5, 2002",The E Center,"West Valley City, Utah",,,40.696629,-111.9867271
"Thursday, November 7, 2002",Spokane Arena,"Spokane, Washington",,,47.6571934,-117.4235106
"Saturday, November 9, 2002",Tacoma Dome,"Tacoma, Washington",,,47.2495798,-122.4398746
"Sunday, November 10, 2002",Rose Garden Arena,"Portland, Oregon",,,45.5202471,-122.6741949
"Friday, November 15, 2002",Compaq Center,"Houston, Texas",,,29.7589382,-95.3676974
"Saturday, November 16, 2002",American Airlines Center,"Dallas, Texas",,,32.7762719,-96.7968559
"Thursday, November 21, 2002",Frank Erwin Center,"Austin, Texas",,,30.2711286,-97.7436995
"Satuday, November 23, 2002",Great Western Forum,"Inglewood, California",,,33.9562003,-118.353132
"Friday, November 29, 2002",Concert for George,"London, England",,,51.5073219,-0.1276474
,Royal Albert Hall,,,,NA,NA
"Tuesday, December 3, 2002",First Union Spectrum,"Philadelphia, Pennsylvania",,,39.9527237,-75.1635262
"Wednesday, December 4, 2002",Schottenstein Center,"Columbus, Ohio",,,39.9622601,-83.0007065
"Friday, December 6, 2002",Rupp Arena,"Lexington, Kentucky",,,38.0464066,-84.4970393
"Saturday, December 7, 2002",Palace of Auburn Hills,"Auburn Hills, Michigan",,,42.6875323,-83.2341028
"Monday, December 9, 2002",Xcel Energy Center,"St. Paul, Minnesota",,,44.9497487,-93.0931028
"Wednesday, December 11, 2002",United Center,"Chicago, Illinois",,,41.8755616,-87.6244212
"Friday, December 13, 2002",Madison Square Garden,"New York City, New York",,,40.7587979,-73.9623427
"Saturday, December 14, 2002",Fleet Center,"Boston, Massachussetts",,,NA,NA
"Sunday, April 13, 2003",Vic Theatre,"Chicago, Illinois",,,41.8755616,-87.6244212
"Monday, April 14, 2003",Vic Theatre,"Chicago, Ilinois",,,41.8755616,-87.6244212
"Wednesday, April 16, 2003",Vic Theatre,"Chicago, Illinois",,,41.8755616,-87.6244212
"Thursday, April 17, 2003",Vic Theatre,"Chicago, Illinois",,,41.8755616,-87.6244212
"Saturday, April 19, 2003",Vic Theatre,"Chicago, Illinois",,,41.8755616,-87.6244212
"Monday, April 21, 2003",Grainger Studio,"Chicago, Illinois",,Soundstage,41.8755616,-87.6244212
"Thursday, June 26, 2003",Sioux Falls Arena,"Sioux Falls, South Dakota",,,43.5460587,-96.7313928
"Saturday, June 28, 2003",Summerfest,"Milwaukee, Wisconsin",,,43.0349931,-87.922497
,Marcus Amphitheater,,,,NA,NA
"Monday, June 30, 2003",US Cellular Center,"Cedar Rapids, Iowa",,,41.9758872,-91.6704053
"Tuesday, July 1, 2003",Mid America Center,"Council Bluffs, Iowa",,,41.2621283,-95.8613912
"Thursday, July 3, 2003",Rushmore Plaza,"Rapid City, South Dakota",,,44.0869329,-103.2274481
"Saturday, July 5, 2003",Brick Breeden Fieldhouse,"Bozeman, Montana",,,45.6794293,-111.044047
"Tuesday, July 8, 2003",Bismarck Civic Center,"Bismarck, North Dakota",,,46.808327,-100.783739
"Wednesday, July 9, 2003",Decc Arena,"Duluth, Minnesota",,,46.7729322,-92.1251218
"Friday, July 11, 2003",Mid West Arena,"Mankato, Minnesota",,,44.1634663,-93.9993505
"Sunday, July 13, 2003",Civic Center,"Peoria, Illinois",,,40.6938609,-89.5891008
"Saturday, August 9, 2003",PNC Banks Arts Center,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Sunday, August 10, 2003",PNC Banks Arts Center,"Holmdel, New Jersey",,,40.3451095,-74.1840322
"Tuesday, August 12, 2003",NTELOS Pavilion Harbor Center,"Portsmouth, Virginia",,,36.8444196,-76.3532998
"Wednesday, August 13, 2003",Gwinnett Center,"Atlanta, Georgia",,,33.7489924,-84.3902644
"Friday, August 15, 2003",North Charleston Coliseum,"Charleston, South Carolina",,,32.7876012,-79.9402728
"Saturday, August 16, 2003",Amsouth Amphitheatre,"Nashville, Tennessee",,,36.1622767,-86.7742984
"Monday, August 18, 2003",Orpheum,"Memphis, Tennessee",,,35.1490215,-90.0516285
"Tuesday, August 19, 2003",Orpheum,"Memphis, Tennessee",,,35.1490215,-90.0516285
"Thursday, August 21, 2003",Ocean Center,"Daytona Beach, Florida",,,29.2108147,-81.0228331
"Friday, August 22, 2003",Teco Arena,"Fort Myers, Florida",,,26.640628,-81.8723084
"Sunday, August 24, 2003",Oak Mountain Amphitheater,"Birmingham, Alabama",,,33.5206824,-86.8024326
"Tuesday, August 26, 2003",UNO Arena,"New Orleans, Louisiana",,,29.9499323,-90.0701156
"Friday, August 29, 2003",Snow King Amphitheater,"Jackson Hole, Wyoming",,,43.684017,-110.44366292631179
"Saturday, August 30, 2003",JAS Festival,"Aspen, Colorado",,,39.1911128,-106.8235606
,Snowmass Vilalge Town Park,,,,NA,NA
"Saturday, February 7 2004",Art for Aids III: Concert for Stephen,"Dana Point, California",,,33.4669721,-117.6981075
,St. Regis Monarch Beach Resort & Spa,,,,NA,NA
